10022,F,F
10025,F,F
1004,F,F
10046,F,F
10056,F,F
10065,F,F
10070,F,F
10103,F,F
10163,T,T
10211,F,F
10214,F,F
10232,F,F
10236,F,F
10243,F,F
10264,T,T
10271,F,F
10291,F,F
10304,F,F
10314,F,T
10315,F,F
10340,F,T
10364,F,F
10383,F,F
10394,F,T
1040,F,F
10448,F,F
10463,F,F
10470,F,F
10476,F,F
10477,F,F
10486,F,F
10533,F,F
10565,F,F
1058,F,F
10608,F,F
10615,F,F
10626,T,T
10639,F,F
10646,F,F
10667,F,F
10683,F,F
10686,F,F
10715,F,F
10716,F,F
10720,T,T
10738,F,F
10769,F,F
10794,T,T
10829,F,F
10873,T,T
10892,F,F
10941,F,F
10951,F,F
10960,T,T
10983,T,T
10985,F,F
10996,F,F
11006,F,F
11025,T,T
11033,T,T
11042,F,F
11046,F,F
11048,F,F
1105,F,F
11051,F,F
11086,F,F
11093,F,F
11098,T,T
11099,T,T
11100,T,T
11105,F,T
11109,F,F
11129,T,T
11152,F,F
11163,F,F
11167,T,T
11177,F,F
11186,F,F
11193,F,F
11197,F,F
11203,F,F
11219,F,F
11225,F,F
11233,F,F
11241,F,F
11260,T,T
11262,F,F
11274,F,F
11281,F,F
11291,T,T
11292,T,T
11301,T,T
11304,F,F
11330,F,F
11339,T,T
11346,F,F
11362,F,F
11380,T,T
11394,F,F
11405,F,F
11432,F,F
11434,F,F
11448,F,F
11467,F,F
11469,F,F
1147,F,F
11510,F,F
11531,F,F
11556,T,T
11592,T,T
11610,F,F
11622,T,T
11641,F,F
11680,T,T
11683,F,F
11688,F,F
11690,F,F
11699,F,F
11715,F,F
11721,F,F
11731,F,F
11757,F,F
1176,F,F
11784,T,T
11797,F,T
11803,F,F
11810,F,F
11819,F,F
11836,F,F
11840,F,F
11843,F,F
11848,F,T
11869,T,T
11874,F,F
1188,F,F
11903,F,F
11933,F,F
11947,F,F
11954,F,F
12042,F,F
12043,T,T
12055,T,T
12060,F,F
12099,F,F
12118,T,T
12133,F,F
12150,T,T
12178,F,F
12219,F,F
12241,T,T
12268,F,F
12291,F,F
123,F,F
12301,F,F
12340,F,F
12341,F,F
12350,F,F
12362,F,F
12405,T,T
12463,F,F
12504,F,F
12522,F,F
12525,F,F
12527,F,F
12561,F,F
12601,F,F
1261,T,T
12649,F,F
12659,T,T
12670,F,F
12716,T,T
12731,T,T
12743,T,T
12746,F,F
12755,F,F
12765,F,F
1280,F,F
12868,F,F
12889,F,F
12891,F,F
12900,F,F
12936,F,F
12990,T,T
12995,T,T
12997,T,T
13001,F,F
13005,F,F
13026,F,F
13040,F,F
13045,F,F
13059,F,F
13064,F,F
13078,F,F
13085,F,F
13099,F,F
13104,F,F
1311,F,F
13114,F,F
13118,F,F
13138,T,T
13140,F,F
13149,F,F
13151,F,T
13165,F,F
13170,F,F
13178,F,F
13195,F,F
13202,F,F
13209,F,F
13235,F,F
13240,F,T
13253,T,F
13283,T,T
13323,T,T
13324,F,F
13328,T,F
13360,T,T
13361,F,F
13381,F,F
13402,T,T
13406,T,T
13408,F,F
13425,F,F
13432,T,T
13443,F,F
13451,F,F
13456,F,F
13457,F,F
13466,F,T
13491,F,F
13507,T,T
13508,F,F
13521,T,T
13531,F,T
13540,T,T
13541,T,T
13570,F,F
13578,T,T
136,F,F
13640,F,F
13654,F,F
1372,T,T
13733,F,F
13801,F,F
1382,F,F
13853,F,T
13873,F,F
13889,F,F
139,F,F
13915,F,F
13923,T,T
13933,F,F
13937,F,F
13945,F,F
13952,F,F
1396,F,F
13960,F,F
13969,F,F
13970,T,T
14000,F,F
14002,F,F
14005,F,F
1403,F,F
14030,F,F
14054,T,T
14068,F,F
14069,T,T
14075,T,F
14077,F,F
14085,T,T
14092,F,F
14098,F,F
14099,F,F
14108,F,F
14124,F,F
14125,F,F
14130,F,F
14145,F,F
14156,F,F
14160,F,F
14180,F,F
14189,T,T
14190,T,F
14196,F,F
14221,F,F
14223,F,F
14226,F,F
14231,F,F
14281,F,F
14283,F,F
14309,F,F
14327,F,F
14329,F,F
14331,F,F
14336,F,F
14340,F,F
14359,F,F
14380,F,F
14392,F,F
14395,F,F
14403,F,F
14404,F,F
14421,F,F
14422,F,F
14444,F,F
14452,F,F
14453,F,F
14479,F,F
14513,F,F
14516,F,F
14531,T,F
14536,F,F
14547,F,F
14548,F,F
14576,F,F
14578,T,T
14580,T,T
14617,F,F
1462,F,F
14625,F,F
14629,T,T
14633,T,T
14645,T,T
14668,F,F
14678,T,T
14707,T,F
14718,F,F
14723,F,F
14730,T,T
1476,F,F
14774,F,F
14809,F,F
14828,F,F
14834,F,F
14837,T,T
14845,F,F
14850,F,F
14870,F,F
14872,F,F
14878,T,T
14914,F,T
15003,F,F
15069,F,F
1508,F,F
15095,F,F
151,F,F
15110,T,T
15117,F,F
15132,F,F
15150,F,F
15156,F,F
1519,F,F
15191,T,F
15197,F,F
15201,F,F
15220,F,F
15227,T,T
1524,F,F
15240,T,T
15254,F,F
15301,F,F
15303,F,F
15314,F,F
15330,F,F
15336,F,F
1535,F,F
15381,T,T
15382,F,F
15397,F,F
15405,F,F
15410,F,F
15411,T,T
15413,F,F
15416,F,F
15440,F,F
15441,F,F
15443,F,F
15448,F,F
15449,F,F
15462,F,F
15477,F,F
15490,F,F
15491,F,F
15493,F,F
15505,F,F
15540,F,F
1555,F,F
15558,F,F
15567,F,F
15570,F,F
15574,F,F
15577,F,F
1559,F,F
15597,F,F
15598,T,T
15603,F,F
15610,F,F
15617,F,F
15624,F,F
15639,F,F
15645,F,F
15646,F,F
15661,T,T
15686,F,F
15688,F,F
15702,F,F
15703,F,F
15708,F,F
15711,F,F
15732,T,T
15739,F,F
15760,F,F
15762,F,F
15782,F,F
15823,F,F
15835,F,F
1585,F,F
15854,F,F
15894,F,F
15907,F,F
15921,F,F
15929,F,F
15931,F,F
15978,F,F
15984,F,F
15991,T,F
16027,F,F
16036,F,F
16038,F,F
16045,F,F
16046,F,F
16053,F,F
16054,F,F
16106,F,F
16128,F,F
16129,F,F
16145,T,T
16163,F,F
16180,F,F
16182,T,T
1342,F,F
16204,T,T
16210,F,F
16213,T,T
